,,,,,,,,,,,,,,,,
Course,Modality,Title,CRN,Instructor,Section Start Date,Section End Date,Section Meet Schedule,Section Meet Begin Time,Section Meet End Time,Section Building Code,Room,Cross-list Group,Cross Listed Section,CalGETC Attribute,Term Length,Class Hyperlink
ADS-307-ZJH,ONLINE,Family Systems in Addiction,99029,"Devera, Magnolia B.",8/16/2026,12/19/2026,M,1830,2035,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/99029
ADS-314-JA,FACE TO FACE,Indiv. AOD Counseling Process,98997,"Eiland, Benjamin M.",8/16/2026,12/19/2026,T,1830,2120,4-14,0117,,,,Full Term,https://webschedule.smccd.edu/course/202608/98997
ADS-304-YKH,ONLINE,"Intervention, Treatment & Rec",98976,"Eiland, Benjamin M.",8/16/2026,12/19/2026,W,1830,2120,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/98976
ADS-301-JA,FACE TO FACE,Intro to Addiction Studies,98975,"Schulze, Walter E.",8/16/2026,12/19/2026,T,1830,2120,4-10,0192,,,,Full Term,https://webschedule.smccd.edu/course/202608/98975
ADS-310-JA,FACE TO FACE,Spec Pop Grp Addiction Studies,98996,"Schulze, Walter E.",8/16/2026,12/19/2026,R,1830,2120,4-10,0192,,,,Full Term,https://webschedule.smccd.edu/course/202608/98996
ADS-315-ZJH,ONLINE,Field  Studies/Seminar,98999,"Devera, Magnolia B.",8/16/2026,12/19/2026,W,1830,2030,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/98999
ANTH-125-AA,FACE TO FACE,Intro to Biological Anthro,93929,"Titus, Michele D.",8/16/2026,12/19/2026,TR,0945,1100,4-18,0308,,,5B,Full Term,https://webschedule.smccd.edu/course/202608/93929
ANTH-180-OLH,ONLINE,"Magic, Science & Religion",97906,"Titus, Michele D.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/97906
ANTH-110-AA,FACE TO FACE,Cultural Anthropology,81711,"Titus, Michele D.",8/16/2026,12/19/2026,TR,1110,1225,4-18,0308,,,4,Full Term,https://webschedule.smccd.edu/course/202608/81711
ART-105-OLH,ONLINE,Asian Art and Architecture,94582,"Gardini, Ashley L.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/94582
ART-103-AA,FACE TO FACE,Art of Eu&Am Neoclassical,81752,"Gardini, Ashley L.",8/16/2026,12/19/2026,TR,1110,1225,4-04,0135,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/81752
ART-301-OLH,ONLINE,Two-Dimensional Design,81771,"Slapin Lufkin, Emily A.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/81771
ART-401-ZAH,ONLINE,Three-Dimensional Design,94660,"Kern, Michelle P.",8/16/2026,12/19/2026,T,0945,1035,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/94660
ART-204-OXH,ONLINE,Drawing I,95832,"Corvelle, Diana L.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,DN,"ART-204-OXH, ART-205-OXH, ",,Full Term,https://webschedule.smccd.edu/course/202608/95832
ART-200-HYJ,HYBRID,Portfolio Preparation,98533,"Deretsky, Zina",8/16/2026,12/19/2026,T,1730,1825,4-TBD,0000 & UNKN,,,,Full Term,https://webschedule.smccd.edu/course/202608/98533
ART-204-BX,FACE TO FACE,Drawing I,95835,"Deretsky, Zina",8/16/2026,12/19/2026,M,1310,1400,4-04,0137 & 0139,CS,"ART-204-BX, ART-205-BX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95835
ART-204-ONH,ONLINE,Drawing I,99001,"Iqbal, Bismillah",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,CK,"ART-204-ONH, ART-205-ONH, ",,Full Term,https://webschedule.smccd.edu/course/202608/99001
ART-204-AX,FACE TO FACE,Drawing I,96616,"Iqbal, Bismillah",8/16/2026,12/19/2026,M,0910,1100,4-04,0137 & 0139,EE,"ART-204-AX, ART-205-AB, ",,Full Term,https://webschedule.smccd.edu/course/202608/96616
ART-223-BAX,FACE TO FACE,Oil Painting I,81761,"Ferrer Clotas, Aina",8/16/2026,12/19/2026,M,0910,1010,4-04,0111,DQ,"ART-223-BAX, ART-224-BAX, ",,Full Term,https://webschedule.smccd.edu/course/202608/81761
ART-203-DX,FACE TO FACE,Plein Air Painting,95828,"Buchanan, Noah",8/16/2026,12/19/2026,T,1310,1450,4-04,0111,EY,"ART-203-DX, ART-253-DX, ART-254-DX, ART-255-DX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95828
ART-206-AX,FACE TO FACE,Expressive Fig.Draw&Portrai,81759,"Iqbal, Bismillah",8/16/2026,12/19/2026,T,1310,1450,4-04,0137 & 0139,DY,"ART-230-AX, ART-206-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/81759
ART-208-BX,FACE TO FACE,Portrait Drawing I,94664,"Buchanan, Noah",8/16/2026,12/19/2026,T,0910,1050,4-04,0111,DK,"ART-208-BX, ART-209-BX, ART-215-BX, ART-216-BX, ",,Full Term,https://webschedule.smccd.edu/course/202608/94664
ART-381-HYA,HYBRID,Begin Digital Photography,99021,"Van Dongen, Nico",8/16/2026,12/19/2026,T,1110,1240,4-04,0000 & 0239,,,,Full Term,https://webschedule.smccd.edu/course/202608/99021
ART-381-ONH,ONLINE,Begin Digital Photography,98972,"Porras, Tamara",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/98972
ART-411-AX,FACE TO FACE,Ceramics I,81785,"Ichimura, Jeanne E.",8/16/2026,12/19/2026,M,0930,1025,4-04,0010,CG,"ART-411-AX, ART-412-AX, ART-417-AX, ART-418-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/81785
ART-411-CX,FACE TO FACE,Ceramics I,97899,"Ichimura, Jeanne E.",8/16/2026,12/19/2026,M,1310,1400,4-04,0010,EZ,"ART-411-CX, ART-412-CX, ART-418-CX, ART-417-CX, ",,Full Term,https://webschedule.smccd.edu/course/202608/97899
ART-411-JX,FACE TO FACE,Ceramics I,96591,"Levine, Zan R.",8/16/2026,12/19/2026,T,1800,1850,4-04,0010,ED,"ART-417-JX, ART-418-JX, ART-411-JX, ART-412-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/96591
ART-383-JX,FACE TO FACE,Intermed Digital Photography,98969,"Porras, Tamara",8/16/2026,12/19/2026,M,1800,1850,4-04,0239,EF,"ART-383-JX, ART-384-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/98969
ART-231-ABX,FACE TO FACE,Watercolor I,99011,"Tarbell, Alan T.",8/16/2026,12/19/2026,M,1030,1125,CEF,0000,CZ,"ART-231-ABX, ART-232-ABX, ",,Full Term,https://webschedule.smccd.edu/course/202608/99011
ART-231-AX,FACE TO FACE,Watercolor I,93253,"Iqbal, Bismillah",8/16/2026,12/19/2026,T,0910,1050,4-04,0241,CW,"ART-243-AX, ART-231-AX, ART-232-AX, ART-233-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/93253
ART-244-BX,FACE TO FACE,Oil Painting III,95526,"Ferrer Clotas, Aina",8/16/2026,12/19/2026,M,1310,1400,4-04,0111,CA,"ART-224-BX, ART-244-BX, ART-247-BX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95526
ART-205-BX,FACE TO FACE,Drawing II,97987,"Deretsky, Zina",8/16/2026,12/19/2026,M,1310,1400,4-04,0137 & 0139,CS,"ART-204-BX, ART-205-BX, ",,Full Term,https://webschedule.smccd.edu/course/202608/97987
ART-205-OXH,ONLINE,Drawing II,95833,"Corvelle, Diana L.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,DN,"ART-204-OXH, ART-205-OXH, ",,Full Term,https://webschedule.smccd.edu/course/202608/95833
ART-351-AX,FACE TO FACE,Beginning Black/White Photog.,81778,"Porras, Tamara",8/16/2026,12/19/2026,M,1310,1400,4-04,0211,ER,"ART-352-AX, ART-351-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/81778
ART-351-JA,FACE TO FACE,Begin Black/White Photography,98968,"Pack, Tressa L.",8/16/2026,12/19/2026,M,1800,1850,4-04,0211,,,,Full Term,https://webschedule.smccd.edu/course/202608/98968
ART-352-AX,FACE TO FACE,Interm Black and White Photogr,98967,"Porras, Tamara",8/16/2026,12/19/2026,M,1310,1400,4-04,0211,ER,"ART-352-AX, ART-351-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/98967
ART-224-BAX,FACE TO FACE,Oil Painting II,98715,"Ferrer Clotas, Aina",8/16/2026,12/19/2026,M,0910,1010,4-04,0111,DQ,"ART-223-BAX, ART-224-BAX, ",,Full Term,https://webschedule.smccd.edu/course/202608/98715
ART-384-JX,FACE TO FACE,Advanced Digital Photography,98970,"Porras, Tamara",8/16/2026,12/19/2026,M,1800,1850,4-04,0239,EF,"ART-383-JX, ART-384-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/98970
ART-412-CX,FACE TO FACE,Ceramics II,97901,"Ichimura, Jeanne E.",8/16/2026,12/19/2026,M,1310,1400,4-04,0010,EZ,"ART-411-CX, ART-412-CX, ART-418-CX, ART-417-CX, ",,Full Term,https://webschedule.smccd.edu/course/202608/97901
ART-209-BX,FACE TO FACE,Portrait Drawing II,94678,"Buchanan, Noah",8/16/2026,12/19/2026,T,0910,1050,4-04,0111,DK,"ART-208-BX, ART-209-BX, ART-215-BX, ART-216-BX, ",,Full Term,https://webschedule.smccd.edu/course/202608/94678
ART-247-BX,FACE TO FACE,Oil Painting IV,95826,"Ferrer Clotas, Aina",8/16/2026,12/19/2026,M,1310,1400,4-04,0111,CA,"ART-224-BX, ART-244-BX, ART-247-BX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95826
ART-353-KX,FACE TO FACE,Adv Black and White Photograph,98971,"Kaneko, Hiroyo",8/16/2026,12/19/2026,T,1800,1850,4-04,0211,DA,"ART-352-KX, ART-353-KX, ART-391-KX, ART-392-KX, ART-393-KX, ART-394-KX, ",,Full Term,https://webschedule.smccd.edu/course/202608/98971
ART-412-AX,FACE TO FACE,Ceramics II,81787,"Ichimura, Jeanne E.",8/16/2026,12/19/2026,M,0930,1025,4-04,0010,CG,"ART-411-AX, ART-412-AX, ART-417-AX, ART-418-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/81787
ART-205-ONH,ONLINE,Drawing II,99002,"Iqbal, Bismillah",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,CK,"ART-204-ONH, ART-205-ONH, ",,Full Term,https://webschedule.smccd.edu/course/202608/99002
ART-232-ABX,FACE TO FACE,Watercolor II,99012,"Tarbell, Alan T.",8/16/2026,12/19/2026,M,1030,1125,CEF,0000,CZ,"ART-231-ABX, ART-232-ABX, ",,Full Term,https://webschedule.smccd.edu/course/202608/99012
ART-391-KX,FACE TO FACE,Experimental Photography 1,99006,"Kaneko, Hiroyo",8/16/2026,12/19/2026,T,1800,1850,4-04,0211,DA,"ART-352-KX, ART-353-KX, ART-391-KX, ART-392-KX, ART-393-KX, ART-394-KX, ",,Full Term,https://webschedule.smccd.edu/course/202608/99006
ART-412-JX,FACE TO FACE,Ceramics II,97758,"Levine, Zan R.",8/16/2026,12/19/2026,T,1800,1850,4-04,0010,ED,"ART-417-JX, ART-418-JX, ART-411-JX, ART-412-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/97758
ART-215-BX,FACE TO FACE,Portraiture III,95829,"Buchanan, Noah",8/16/2026,12/19/2026,T,0910,1050,4-04,0111,DK,"ART-208-BX, ART-209-BX, ART-215-BX, ART-216-BX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95829
ART-232-AX,FACE TO FACE,Watercolor II,93254,"Iqbal, Bismillah",8/16/2026,12/19/2026,T,0910,1050,4-04,0241,CW,"ART-243-AX, ART-231-AX, ART-232-AX, ART-233-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/93254
ART-253-DX,FACE TO FACE,Plein Air Painting II,96161,"Buchanan, Noah",8/16/2026,12/19/2026,T,1310,1450,4-04,0111,EY,"ART-203-DX, ART-253-DX, ART-254-DX, ART-255-DX, ",,Full Term,https://webschedule.smccd.edu/course/202608/96161
ART-381-ORH,ONLINE,Begin Digital Photography,98973,"Porras, Tamara",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98973
ART-392-KX,FACE TO FACE,Experimental Photography 2,99013,"Kaneko, Hiroyo",8/16/2026,12/19/2026,T,1800,1850,4-04,0211,DA,"ART-352-KX, ART-353-KX, ART-391-KX, ART-392-KX, ART-393-KX, ART-394-KX, ",,Full Term,https://webschedule.smccd.edu/course/202608/99013
ART-417-JX,FACE TO FACE,Ceramics Glaze,95477,"Levine, Zan R.",8/16/2026,12/19/2026,T,1800,1850,4-04,0010,ED,"ART-417-JX, ART-418-JX, ART-411-JX, ART-412-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95477
ART-418-AX,FACE TO FACE,Ceramics III,95871,"Ichimura, Jeanne E.",8/16/2026,12/19/2026,M,0930,1025,4-04,0010,CG,"ART-411-AX, ART-412-AX, ART-417-AX, ART-418-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95871
ART-418-JX,FACE TO FACE,Ceramics III,95872,"Levine, Zan R.",8/16/2026,12/19/2026,T,1800,1850,4-04,0010,ED,"ART-417-JX, ART-418-JX, ART-411-JX, ART-412-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95872
ART-224-BX,FACE TO FACE,Oil Painting II,81763,"Ferrer Clotas, Aina",8/16/2026,12/19/2026,M,1310,1400,4-04,0111,CA,"ART-224-BX, ART-244-BX, ART-247-BX, ",,Full Term,https://webschedule.smccd.edu/course/202608/81763
ART-417-AX,FACE TO FACE,Ceramics Glaze,95476,"Ichimura, Jeanne E.",8/16/2026,12/19/2026,M,0930,1025,4-04,0010,CG,"ART-411-AX, ART-412-AX, ART-417-AX, ART-418-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95476
ART-205-AB,FACE TO FACE,Drawing II,98978,"Iqbal, Bismillah",8/16/2026,12/19/2026,M,0910,1100,4-04,0137 & 0139,EE,"ART-204-AX, ART-205-AB, ",,Full Term,https://webschedule.smccd.edu/course/202608/98978
ART-216-BX,FACE TO FACE,Portraiture IV,95830,"Buchanan, Noah",8/16/2026,12/19/2026,T,0910,1050,4-04,0111,DK,"ART-208-BX, ART-209-BX, ART-215-BX, ART-216-BX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95830
ART-230-AX,FACE TO FACE,Expressive Fig.Draw&Portrai II,95827,"Iqbal, Bismillah",8/16/2026,12/19/2026,T,1310,1450,4-04,0137 & 0139,DY,"ART-230-AX, ART-206-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95827
ART-243-AX,FACE TO FACE,Watercolor IV,95150,"Iqbal, Bismillah",8/16/2026,12/19/2026,T,0910,1050,4-04,0241,CW,"ART-243-AX, ART-231-AX, ART-232-AX, ART-233-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95150
ART-352-KX,FACE TO FACE,Interm.Black&White Photography,94682,"Kaneko, Hiroyo",8/16/2026,12/19/2026,T,1800,1850,4-04,0211,DA,"ART-352-KX, ART-353-KX, ART-391-KX, ART-392-KX, ART-393-KX, ART-394-KX, ",,Full Term,https://webschedule.smccd.edu/course/202608/94682
ART-417-CX,FACE TO FACE,Ceramic Glazing Techniques,99030,"Ichimura, Jeanne E.",8/16/2026,12/19/2026,M,1310,1400,4-04,0010,EZ,"ART-411-CX, ART-412-CX, ART-418-CX, ART-417-CX, ",,Full Term,https://webschedule.smccd.edu/course/202608/99030
ART-233-AX,FACE TO FACE,Watercolor III,95149,"Iqbal, Bismillah",8/16/2026,12/19/2026,T,0910,1050,4-04,0241,CW,"ART-243-AX, ART-231-AX, ART-232-AX, ART-233-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95149
ART-254-DX,FACE TO FACE,Plein Air Painting III,96482,"Buchanan, Noah",8/16/2026,12/19/2026,T,1310,1450,4-04,0111,EY,"ART-203-DX, ART-253-DX, ART-254-DX, ART-255-DX, ",,Full Term,https://webschedule.smccd.edu/course/202608/96482
ART-255-DX,FACE TO FACE,Plein Air Painting IV,96483,"Buchanan, Noah",8/16/2026,12/19/2026,T,1310,1450,4-04,0111,EY,"ART-203-DX, ART-253-DX, ART-254-DX, ART-255-DX, ",,Full Term,https://webschedule.smccd.edu/course/202608/96483
ART-393-KX,FACE TO FACE,Experimental Photography 3,99014,"Kaneko, Hiroyo",8/16/2026,12/19/2026,T,1800,1850,4-04,0211,DA,"ART-352-KX, ART-353-KX, ART-391-KX, ART-392-KX, ART-393-KX, ART-394-KX, ",,Full Term,https://webschedule.smccd.edu/course/202608/99014
ART-394-KX,FACE TO FACE,Experimental Photography 4,99015,"Kaneko, Hiroyo",8/16/2026,12/19/2026,T,1800,1850,4-04,0211,DA,"ART-352-KX, ART-353-KX, ART-391-KX, ART-392-KX, ART-393-KX, ART-394-KX, ",,Full Term,https://webschedule.smccd.edu/course/202608/99015
ART-418-CX,FACE TO FACE,Ceramics III,97903,"Ichimura, Jeanne E.",8/16/2026,12/19/2026,M,1310,1400,4-04,0010,EZ,"ART-411-CX, ART-412-CX, ART-418-CX, ART-417-CX, ",,Full Term,https://webschedule.smccd.edu/course/202608/97903
ARTH-C1100-OLH,ONLINE,Survey of Art from Prehistory,98943,"Cortez, Cheyanne M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98943
ARTH-C1200-AA,FACE TO FACE,Survy West Art: Ren to Contemp,98944,"Cortez, Cheyanne M.",8/16/2026,12/19/2026,MW,1110,1225,4-04,0135,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98944
ARTH-C1200-OLH,ONLINE,Survy West Art: Ren to Contemp,98947,"Gardini, Ashley L.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98947
ARTH-C1100-OMH,ONLINE,Survey of Art from Prehistory,98945,"Cortez, Cheyanne M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98945
ARTH-C1100-AA,FACE TO FACE,Survey of Art from Prehistory,98942,"Cortez, Cheyanne M.",8/16/2026,12/19/2026,MW,0945,1100,4-04,0135,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98942
ARTH-C1100-ONH,ONLINE,Survey of Art from Prehistory,98946,"Cortez, Cheyanne M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98946
DGME-100-OLH,ONLINE,Media in Society,93086,"Brown, Michelle M.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/93086
